brand_name,product_name,product_id,url,images_from_sociolla,images_from_serper,total_images,serper_status
584_aeris-beaute,Golden Silk - Individual Brushes S4-Pro Conceal,104080,https://www.sociolla.com/face-brushes/75738-golden-silk-individual-brushes-s4-pro-conceal,0,7,7,ok
584_aeris-beaute,The Coral 2.0 - Individual Brushes CR6-Under Eye,104068,https://www.sociolla.com/face-brushes/75726-the-coral-2-0-individual-brushes-cr6-under-eye,0,5,5,ok
584_aeris-beaute,Golden Silk Travel Set,104085,https://www.sociolla.com/makeup-palettes-set/75743-golden-silk-travel-set,0,10,10,ok
15654_adara-cosmetics,Bee White Spotless Gel,105006,https://www.sociolla.com/acne-treatment-sealing-gel-cream/76664-bee-white-spotless-gel,0,7,7,ok
584_aeris-beaute,Rose Quartz Facial Set - Lifting Duo,86887,https://www.sociolla.com/facial-tools/58545-rose-quartz-facial-set-lifting-duo,0,3,3,ok
584_aeris-beaute,Duo Color Switcher,92097,https://www.sociolla.com/brush-cleanser-tools/63755-duo-color-switcher,0,1,1,ok
584_aeris-beaute,Golden Silk - Individual Brushes S8-Multitasker,104079,https://www.sociolla.com/face-brushes/75737-golden-silk-individual-brushes-s8-multitasker,0,5,5,ok
584_aeris-beaute,Mrs. Blendie,34585,https://www.sociolla.com/sponge-applicators/12009-mrs-blendie,0,9,9,ok
584_aeris-beaute,The Coral 2.0 - Individual Brushes CR2-Pressed Powder,104066,https://www.sociolla.com/face-brushes/75723-the-coral-2-0-individual-brushes-cr2-pressed-powder,0,3,3,ok
584_aeris-beaute,The Coral 2.0 - Individual Brushes CR3-Curved Cheek,104065,https://www.sociolla.com/face-brushes/75724-the-coral-2-0-individual-brushes-cr3-curved-cheek,0,5,5,ok
584_aeris-beaute,The Coral 2.0 - Individual Brushes CR10-Detail Shadow,104070,https://www.sociolla.com/face-brushes/75728-the-coral-2-0-individual-brushes-cr10-detail-shadow,0,2,2,ok
584_aeris-beaute,The Onyx 2.0 - Individual Brushes X5-Under Eye,104052,https://www.sociolla.com/face-brushes/75710-the-onyx-2-0-individual-brushes-x5-under-eye,0,6,6,ok
584_aeris-beaute,Libre Precision Tweezer,104615,https://www.sociolla.com/brow-tools/76273-libre-precision-tweezer,0,10,10,ok
584_aeris-beaute,Facial-Firming Rose Quartz Roller,86888,https://www.sociolla.com/facial-tools/58546-facial-firming-rose-quartz-roller,0,6,6,ok
584_aeris-beaute,The Onyx 2.0 - Individual Brushes X13-Concealer,104062,https://www.sociolla.com/face-brushes/75720-the-onyx-2-0-individual-brushes-x13-concealer,0,3,3,ok
584_aeris-beaute,Blendie Pods,74540,https://www.sociolla.com/default-category/27720-blendie-pods,0,1,1,ok
584_aeris-beaute,The Onyx 2.0 - Individual Brushes X14-Mini Pencil,104061,https://www.sociolla.com/face-brushes/75719-the-onyx-2-0-individual-brushes-x14-mini-pencil,0,5,5,ok
584_aeris-beaute,The Coral 2.0 - Individual Brushes CR1-Powder,104063,https://www.sociolla.com/face-brushes/75721-the-coral-2-0-individual-brushes-cr1-powder,0,3,3,ok
584_aeris-beaute,Golden Silk - Individual Brushes S9-Eye Smudge,104083,https://www.sociolla.com/face-brushes/75741-golden-silk-individual-brushes-s9-eye-smudge,0,0,0,ok
584_aeris-beaute,Pro Packs (Sister),72441,https://www.sociolla.com/sponge-applicators/25621-pro-packs-sister,0,8,8,ok
584_aeris-beaute,Instant Brush Cleaner,82692,https://www.sociolla.com/brush-cleanser-tools/54350-instant-brush-cleaner,0,9,9,ok
584_aeris-beaute,The Coral 2.0 - Individual Brushes CR7-Flat Highlight,104069,https://www.sociolla.com/face-brushes/75727-the-coral-2-0-individual-brushes-cr7-flat-highlight,0,3,3,ok
584_aeris-beaute,The Onyx 2.0 - Individual Brushes X10-Tapered Blending,104056,https://www.sociolla.com/face-brushes/75713-the-onyx-2-0-individual-brushes-x10-tapered-blending,0,4,4,ok
584_aeris-beaute,The Onyx 2.0 - Individual Brushes X15-Lip,104058,https://www.sociolla.com/face-brushes/75716-the-onyx-2-0-individual-brushes-x15-lip,0,3,3,ok
584_aeris-beaute,Golden Silk - Individual Brushes S10-Precision Brow,104087,https://www.sociolla.com/face-brushes/75745-golden-silk-individual-brushes-s10-precision-brow,0,7,7,ok
584_aeris-beaute,Golden Silk - Individual Brushes S12-Mini Multitasker,104086,https://www.sociolla.com/face-brushes/75744-golden-silk-individual-brushes-s12-mini-multitasker,0,1,1,ok
584_aeris-beaute,Facelift Beauty Roller,91000,https://www.sociolla.com/facial-tools/62658-facelift-beauty-roller,0,8,8,ok
