brand_name,product_name,product_id,beauty_point_earned,price_range,price_by_combinations,url,active_date,default_category,categories,rating_types_str,average_rating,total_reviews,average_rating_by_types,total_recommended_count,total_repurchase_maybe_count,total_repurchase_no_count,total_repurchase_yes_count,total_in_wishlist,image_folder_name,image_folder_path,image_count
118_ecotools,3175 Bioblender Single,91144,20,Rp 139.900,"""Default"": 139900",https://www.sociolla.com/sponge-applicators/62802-3175-bioblender-single,,Sponge & Applicators,Accessories; Makeup Brushes; Sponge & Applicators,is_star_durability;is_star_eficiency;is_star_packaging;is_star_value_for_money,4.0,1,"""star_durability"": 3.6666666666666665; ""star_eficiency"": 4.333333333333333; ""star_packaging"": 4; ""star_value_for_money"": 4",2,0,1,2,10,118_ecotools_91144,SafeCart_Dataset/images/118_ecotools_91144,4
118_ecotools,1661 Festive & Flawless Beauty Kit,63772,130,Rp 699.000,"""Non Specify"": 699000",https://www.sociolla.com/accessories/16592-1661-festive-and-flawless-beauty-kit,,Brush Set,TRY CLEAN BEAUTY; Rock and Kohl Makeup Look; Rock and Kohl Makeup Look Over 200K,is_star_durability;is_star_eficiency;is_star_packaging;is_star_value_for_money,4.916666666666667,3,"""star_durability"": 5; ""star_eficiency"": 5; ""star_packaging"": 5; ""star_value_for_money"": 4.666666666666667",6,1,0,5,118,118_ecotools_63772,SafeCart_Dataset/images/118_ecotools_63772,7
118_ecotools,3173 Interchangeables Wake Up & Glo,91165,70,Rp 379.900,"""Default"": 379900",https://www.sociolla.com/brush-set/62823-3173-interchangeables-wake-up-and-glo,,Brush Set,Accessories; Makeup Brushes; Brush Set,is_star_durability;is_star_eficiency;is_star_packaging;is_star_value_for_money,5.0,0,"""star_durability"": 5; ""star_eficiency"": 5; ""star_packaging"": 5; ""star_value_for_money"": 5",3,0,0,3,32,118_ecotools_91165,SafeCart_Dataset/images/118_ecotools_91165,3
118_ecotools,3172 Interchangeables Total Senses Brush Duo,91148,30,Rp 199.900,"""Default"": 199900",https://www.sociolla.com/brush-set/62806-3172-interchangeables-total-senses-brush-duo,,Brush Set,Accessories; Makeup Brushes; Brush Set,is_star_durability;is_star_eficiency;is_star_packaging;is_star_value_for_money,5.0,0,"""star_durability"": 5; ""star_eficiency"": 5; ""star_packaging"": 5; ""star_value_for_money"": 5",3,0,0,3,21,118_ecotools_91148,SafeCart_Dataset/images/118_ecotools_91148,5
118_ecotools,3137 IC Interchangeables Total Renewal Eye Kit,91175,50,Rp 299.900,"""Default"": 299900",https://www.sociolla.com/brush-set/62833-3137-ic-interchangeables-total-renewal-eye-kit,,Brush Set,Accessories; Makeup Brushes; Brush Set,is_star_durability;is_star_eficiency;is_star_packaging;is_star_value_for_money,4.833333333333334,1,"""star_durability"": 4.666666666666667; ""star_eficiency"": 5; ""star_packaging"": 5; ""star_value_for_money"": 4.666666666666667",3,0,0,3,45,118_ecotools_91175,SafeCart_Dataset/images/118_ecotools_91175,7
118_ecotools,1637 Custom Match Duo Set,36653,80,Rp 449.000,"""Default"": 449000",https://www.sociolla.com/234-brush-sets/15162-1637-custom-match-duo-set,,Brush Set,TRY CLEAN BEAUTY; The 80s is Back Makeup Look; More Hygiene With Tools,is_star_durability;is_star_eficiency;is_star_packaging;is_star_value_for_money,5.0,0,"""star_durability"": 5; ""star_eficiency"": 5; ""star_packaging"": 5; ""star_value_for_money"": 5",3,0,0,3,40,118_ecotools_36653,SafeCart_Dataset/images/118_ecotools_36653,9
118_ecotools,7609 Textured Facial Roller,91184,40,Rp 219.900,"""Default"": 219900",https://www.sociolla.com/facial-tools/62842-7609-textured-facial-roller,,Facial Tools,Accessories; Facial; Facial Tools,is_star_durability;is_star_eficiency;is_star_packaging;is_star_value_for_money,0.0,0,,0,0,0,0,19,118_ecotools_91184,SafeCart_Dataset/images/118_ecotools_91184,6
118_ecotools,7596 Amethyst Roller,91182,60,Rp 349.900,"""Default"": 349900",https://www.sociolla.com/facial-tools/62840-7596-amethyst-roller,,Facial Tools,Accessories; Facial; Facial Tools,is_star_durability;is_star_eficiency;is_star_packaging;is_star_value_for_money,5.0,0,"""star_durability"": 5; ""star_eficiency"": 5; ""star_packaging"": 5; ""star_value_for_money"": 5",1,0,0,1,13,118_ecotools_91182,SafeCart_Dataset/images/118_ecotools_91182,10
118_ecotools,3135 IC Rounded Cheek Head Brush,91171,20,Rp 129.900,"""Default"": 129900",https://www.sociolla.com/face-brushes/62829-3135-ic-rounded-cheek-head-brush,,Face Brushes,Accessories; Makeup Brushes; Face Brushes,is_star_durability;is_star_eficiency;is_star_packaging;is_star_value_for_money,0.0,0,,0,0,0,0,10,118_ecotools_91171,SafeCart_Dataset/images/118_ecotools_91171,7
118_ecotools,3134 IC Flawless Buffer Head Brush,91170,20,Rp 129.900,"""Default"": 129900",https://www.sociolla.com/face-brushes/62828-3134-ic-flawless-buffer-head-brush,,Face Brushes,Accessories; Makeup Brushes; Face Brushes,is_star_durability;is_star_eficiency;is_star_packaging;is_star_value_for_money,0.0,0,,0,0,0,0,14,118_ecotools_91170,SafeCart_Dataset/images/118_ecotools_91170,6
